Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Binary Analysis Overview,Binary Code Fingerprinting for Cybersecurity,,,,10.1007/978-3-030-34238-8_2,Saed AlrabaeeMourad DebbabiParia ShiraniLingyu WangAmr YoussefAshkan RahimianLina NouhDjedjiga MouhebHe HuangAiman Hanna,2020,https://link.springer.com/chapter/10.1007/978-3-030-34238-8_2,Chapter
frameD: Toward Automated Identification of&#xa0;Embedded Frameworks in&#xa0;Firmware Images,Computer Security. ESORICS 2024 International Workshops,,,,10.1007/978-3-031-82349-7_32,Jorik van NielenAndreas PeterAndrea Continella,2025,https://link.springer.com/chapter/10.1007/978-3-031-82349-7_32,Conference paper
"A survey on IoT &amp; embedded device firmware security: architecture, extraction techniques, and vulnerability analysis frameworks",Discover Internet of Things,,,,10.1007/s43926-023-00045-2,Shahid Ul HaqYashwant SinghAmit SharmaRahul GuptaDipak Gupta,2023,https://link.springer.com/article/10.1007/s43926-023-00045-2,Article
Decompilation Based Deep Binary-Source Function Matching,Science of Cyber Security,,,,10.1007/978-3-031-45933-7_15,Xiaowei WangZimu YuanYang XiaoLiyan WangYican YaoHaiming ChenWei Huo,2023,https://link.springer.com/chapter/10.1007/978-3-031-45933-7_15,Conference paper
Data space randomization for securing cyber-physical systems,International Journal of Information Security,,,,10.1007/s10207-021-00568-1,Bradley PotteigerFeiyang CaiZhenkai ZhangXenofon Koutsoukos,2021,https://link.springer.com/article/10.1007/s10207-021-00568-1,Article
Raising MIPS Binaries to&#xa0;LLVM IR,Information Systems Security,,,,10.1007/978-3-030-92571-0_6,Sandeep RomanaAnil D. BandgarMohit KumarMahesh U. PatilP. R. Lakshmi Eswari,2021,https://link.springer.com/chapter/10.1007/978-3-030-92571-0_6,Conference paper
Speeding-up fuzzing through directional seeds,International Journal of Information Security,,,,10.1007/s10207-024-00953-6,Koffi Anderson KoffiVyron KampourakisConstantinos KoliasJia SongRobert C. Ivans,2025,https://link.springer.com/article/10.1007/s10207-024-00953-6,Article
Representing LLVM-IR in&#xa0;a&#xa0;Code Property Graph,Information Security,,,,10.1007/978-3-031-22390-7_21,Alexander KüchlerChristian Banse,2022,https://link.springer.com/chapter/10.1007/978-3-031-22390-7_21,Conference paper
Fast Firmware Fuzz with&#xa0;Input/Output Reposition,Security and Privacy in Communication Networks,,,,10.1007/978-3-031-94455-0_1,Mingfeng XinLiting DengHui WenDongliang FangShichao LvLimin Sun,2026,https://link.springer.com/chapter/10.1007/978-3-031-94455-0_1,Conference paper
Decision-Making Framework to&#xa0;Support the&#xa0;End-of-Life Management of&#xa0;High-Activity Radioactive Sources,HCI International 2023 – Late Breaking Papers,,,,10.1007/978-3-031-48044-7_5,Rajiv KhadkaXingyue YangJohn KoudelkaVictor WalkerKevin Kenney,2023,https://link.springer.com/chapter/10.1007/978-3-031-48044-7_5,Conference paper
QuickBCC: Quick and Scalable Binary Vulnerable Code Clone Detection,ICT Systems Security and Privacy Protection,,,,10.1007/978-3-030-78120-0_5,Hajin JangKyeongseok YangGeonwoo LeeYoonjong NaJeremy D. SeidemanShoufu LuoHeejo LeeSven Dietrich,2021,https://link.springer.com/chapter/10.1007/978-3-030-78120-0_5,Conference paper
B2SMatcher: fine-Grained version identification of open-Source software in binary files,Cybersecurity,,,,10.1186/s42400-021-00085-7,Gu BanLili XuYang XiaoXinhua LiZimu YuanWei Huo,2021,https://link.springer.com/article/10.1186/s42400-021-00085-7,Article
Reliable Basic Block Energy Accounting,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-46077-7_13,Christos P. LamprakosDimitrios S. BourasFrancky CatthoorDimitrios Soudris,2023,https://link.springer.com/chapter/10.1007/978-3-031-46077-7_13,Conference paper
Towards Automating Code-Reuse Attacks Using Synthesized Gadget Chains,Computer Security – ESORICS 2021,,,,10.1007/978-3-030-88418-5_11,Moritz SchloegelTim BlazytkoJulius BaslerFabian HemmerThorsten Holz,2021,https://link.springer.com/chapter/10.1007/978-3-030-88418-5_11,Conference paper
Building Deobfuscated Applications from&#xa0;Polymorphic Binaries,Innovative Security Solutions for Information Technology and Communications,,,,10.1007/978-3-031-17510-7_21,Vlad Constantin CrăciunAndrei-Cătălin Mogage,2022,https://link.springer.com/chapter/10.1007/978-3-031-17510-7_21,Conference paper
On Efficiency and Effectiveness of Linear Function Detection Approaches for Memory Carving,Digital Forensics and Cyber Crime,,,,10.1007/978-3-030-05487-8_1,Lorenz LieblerHarald Baier,2019,https://link.springer.com/chapter/10.1007/978-3-030-05487-8_1,Conference paper
Assembly or Optimized C for Lightweight Cryptography on RISC-V?,Cryptology and Network Security,,,,10.1007/978-3-030-65411-5_26,Fabio CamposLars JellemaMauk LemmenLars MüllerAmber SprenkelsBenoit Viguier,2020,https://link.springer.com/chapter/10.1007/978-3-030-65411-5_26,Conference paper
$$\tau $$ CFI: Type-Assisted Control Flow Integrity for x86-64 Binaries,"Research in Attacks, Intrusions, and Defenses",,,,10.1007/978-3-030-00470-5_20,Paul MunteanMatthias FischerGang TanZhiqiang LinJens GrossklagsClaudia Eckert,2018,https://link.springer.com/chapter/10.1007/978-3-030-00470-5_20,Conference paper
Host-Compiled Simulation,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7267-9_18,Daniel Mueller-GritschnederAndreas Gerstlauer,2017,https://link.springer.com/rwe/10.1007/978-94-017-7267-9_18,Reference work entry
Timing Models for Fast Embedded Software Performance Analysis,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7267-9_22,Oliver BringmannChristoph GerumSebastian Ottlik,2017,https://link.springer.com/rwe/10.1007/978-94-017-7267-9_22,Reference work entry
Insight: An Open Binary Analysis Framework,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-662-46681-0_18,Emmanuel FleuryOlivier LyGérald PointAymeric Vincent,2015,https://link.springer.com/chapter/10.1007/978-3-662-46681-0_18,Conference paper
Host-Compiled Simulation,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7358-4_18-1,Daniel Mueller-GritschnederAndreas Gerstlauer,2016,https://link.springer.com/rwe/10.1007/978-94-017-7358-4_18-1,Living reference work entry
Semantics-Based Repackaging Detection for Mobile Apps,Engineering Secure Software and Systems,,,,10.1007/978-3-319-30806-7_6,Quanlong GuanHeqing HuangWeiqi LuoSencun Zhu,2016,https://link.springer.com/chapter/10.1007/978-3-319-30806-7_6,Conference paper
Timing Models for Fast Embedded Software Performance Analysis,Handbook of Hardware/Software Codesign,,,,10.1007/978-94-017-7358-4_22-2,Oliver BringmannChristoph GerumSebastian Ottlik,2016,https://link.springer.com/rwe/10.1007/978-94-017-7358-4_22-2,Living reference work entry
"FPGA Versus Software Programming: Why, When, and How?",FPGAs for Software Programmers,,,,10.1007/978-3-319-26408-0_1,Dirk KochDaniel ZienerFrank Hannig,2016,https://link.springer.com/chapter/10.1007/978-3-319-26408-0_1,Chapter
Embedded Development System and C Programming,Embedded Systems Design for High-Speed Data Acquisition and Control,,,,10.1007/978-3-319-06865-7_5,Maurizio Di Paolo Emilio,2015,https://link.springer.com/chapter/10.1007/978-3-319-06865-7_5,Chapter
Rover vision—fundamentals,Planetary Rovers,,,,10.1007/978-3-642-03259-2_6,Alex Ellery,2016,https://link.springer.com/chapter/10.1007/978-3-642-03259-2_6,Chapter
Compiler Help for Binary Manipulation Tools,Euro-Par 2012: Parallel Processing Workshops,,,,10.1007/978-3-642-36949-0_46,Tugrul InceJeffrey K. Hollingsworth,2013,https://link.springer.com/chapter/10.1007/978-3-642-36949-0_46,Conference paper
Static Integer Overflow Vulnerability Detection in Windows Binary,Advances in Information and Computer Security,,,,10.1007/978-3-642-41383-4_2,Yi DengYang ZhangLiang ChengXiaoshan Sun,2013,https://link.springer.com/chapter/10.1007/978-3-642-41383-4_2,Conference paper
Static Analysis of Binaries,Software Similarity and Classification,,,,10.1007/978-1-4471-2909-7_5,Silvio CesareYang Xiang,2012,https://link.springer.com/chapter/10.1007/978-1-4471-2909-7_5,Chapter
Performance debugging of Esterel specifications,Real-Time Systems,,,,10.1007/s11241-012-9155-z,Lei JuBach Khoa HuynhAbhik RoychoudhurySamarjit Chakraborty,2012,https://link.springer.com/article/10.1007/s11241-012-9155-z,Article
Software Bertillonage,Empirical Software Engineering,,,,10.1007/s10664-012-9199-7,Julius DaviesDaniel M. GermanMichael W. GodfreyAbram Hindle,2012,https://link.springer.com/article/10.1007/s10664-012-9199-7,Article
Reconciling Compilation and Timing Analysis,Advances in Real-Time Systems,,,,10.1007/978-3-642-24349-3_7,Heiko FalkPeter MarwedelPaul Lokuciejewski,2012,https://link.springer.com/chapter/10.1007/978-3-642-24349-3_7,Chapter
BAP: A Binary Analysis Platform,Computer Aided Verification,,,,10.1007/978-3-642-22110-1_37,David BrumleyIvan JagerThanassis AvgerinosEdward J. Schwartz,2011,https://link.springer.com/chapter/10.1007/978-3-642-22110-1_37,Conference paper
Software model checking without source code,Innovations in Systems and Software Engineering,,,,10.1007/s11334-010-0125-0,Sagar ChakiJames Ivers,2010,https://link.springer.com/article/10.1007/s11334-010-0125-0,Article
Jakstab: A Static Analysis Platform for Binaries,Computer Aided Verification,,,,10.1007/978-3-540-70545-1_40,Johannes KinderHelmut Veith,2008,https://link.springer.com/chapter/10.1007/978-3-540-70545-1_40,Conference paper
An Abstract Interpretation-Based Framework for Control Flow Reconstruction from Binaries,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-540-93900-9_19,Johannes KinderFlorian ZulegerHelmut Veith,2008,https://link.springer.com/chapter/10.1007/978-3-540-93900-9_19,Conference paper
BitBlaze: A New Approach to Computer Security via Binary Analysis,Information Systems Security,,,,10.1007/978-3-540-89862-7_1,Dawn SongDavid BrumleyHeng YinJuan CaballeroIvan JagerMin Gyung KangZhenkai LiangJames NewsomePongsin PoosankamPrateek Saxena,2008,https://link.springer.com/chapter/10.1007/978-3-540-89862-7_1,Conference paper
Backing Up Databases,Expert Oracle Database 11g Administration,,,,10.1007/978-1-4302-1016-0_15,,2009,https://link.springer.com/chapter/10.1007/978-1-4302-1016-0_15,Chapter
Introducing .NET Assemblies,Pro VB 2008 and the .NET 3.5 Platform,,,,10.1007/978-1-4302-0200-4_15,,2008,https://link.springer.com/chapter/10.1007/978-1-4302-0200-4_15,Chapter
Decoding Code on a Sensor Node,Distributed Computing in Sensor Systems,,,,10.1007/978-3-540-69170-9_27,Pascal von RickenbachRoger Wattenhofer,2008,https://link.springer.com/chapter/10.1007/978-3-540-69170-9_27,Conference paper
Introducing .NET Assemblies,Pro C# with .NET 3.0,,,,10.1007/978-1-4302-0201-1_11,,2007,https://link.springer.com/chapter/10.1007/978-1-4302-0201-1_11,Chapter
Introducing .NET Assemblies,Pro C# 2008 and the .NET 3.5 Platform,,,,10.1007/978-1-4302-0422-0_15,Andrew Troelsen,2007,https://link.springer.com/chapter/10.1007/978-1-4302-0422-0_15,Chapter
Backup and Recovery,Oracle Database 11g,,,,10.1007/978-1-4302-0469-5_6,,2007,https://link.springer.com/chapter/10.1007/978-1-4302-0469-5_6,Chapter
Empirical studies in reverse engineering: state of the art and future trends,Empirical Software Engineering,,,,10.1007/s10664-007-9037-5,Paolo TonellaMarco TorchianoBart Du BoisTarja Systä,2007,https://link.springer.com/article/10.1007/s10664-007-9037-5,Article
Analysis of Low-Level Code Using Cooperating Decompilers,Static Analysis,,,,10.1007/11823230_21,Bor-Yuh Evan ChangMatthew HarrenGeorge C. Necula,2006,https://link.springer.com/chapter/10.1007/11823230_21,Conference paper
Using Dynamic Information in the Interprocedural Static Slicing of Binary Executables,Software Quality Journal,,,,10.1007/s11219-005-1751-x,Ákos KissJudit JászTibor Gyimóthy,2005,https://link.springer.com/article/10.1007/s11219-005-1751-x,Article
Introducing .NET Assemblies,Pro VB 2005 and the .NET 2.0 Platform,,,,10.1007/978-1-4302-0160-1_13,,2006,https://link.springer.com/chapter/10.1007/978-1-4302-0160-1_13,Chapter
Introducing .NET Assemblies,Pro C# 2005 and the .NET 2.0 Platform,,,,10.1007/978-1-4302-0060-4_11,,2005,https://link.springer.com/chapter/10.1007/978-1-4302-0060-4_11,Chapter
A Software Fingerprinting Scheme for Java Using Classfiles Obfuscation,Information Security Applications,,,,10.1007/978-3-540-24591-9_23,Kazuhide FukushimaKouichi Sakurai,2004,https://link.springer.com/chapter/10.1007/978-3-540-24591-9_23,Conference paper
Reconstructing Control Flow from Predicated Assembly Code,Software and Compilers for Embedded Systems,,,,10.1007/978-3-540-39920-9_7,Björn DeckerDaniel Kästner,2003,https://link.springer.com/chapter/10.1007/978-3-540-39920-9_7,Conference paper
VB.Classic Debugging,Comprehensive VB .NET Debugging,,,,10.1007/978-1-4302-0778-8_11,Mark Pearce,2003,https://link.springer.com/chapter/10.1007/978-1-4302-0778-8_11,Chapter
5dpo Team Description,RoboCup 2001: Robot Soccer World Cup V,,,,10.1007/3-540-45603-1_84,Paulo CostaArmando SousaPaulo MarquesPedro CostaSusana GaioAntónio Moreira,2002,https://link.springer.com/chapter/10.1007/3-540-45603-1_84,Conference paper
A Symmetric Approach to Compilation and Decompilation,The Essence of Computation,,,,10.1007/3-540-36377-7_14,Mads Sig AgerOlivier DanvyMayer Goldberg,2002,https://link.springer.com/chapter/10.1007/3-540-36377-7_14,Chapter
Virtual Frameworks—Error Control,Software Development on a Leash,,,,10.1007/978-1-4302-1147-1_5,David C. BirminghamValerie Haynes Perry,2002,https://link.springer.com/chapter/10.1007/978-1-4302-1147-1_5,Chapter
Typestate Checking of Machine Code,Programming Languages and Systems,,,,10.1007/3-540-45309-1_22,Zhichen XuThomas RepsBarton P. Miller,2001,https://link.springer.com/chapter/10.1007/3-540-45309-1_22,Conference paper
Structuring the Field,Quantitative Models for Reverse Logistics,,,,10.1007/978-3-642-56691-2_3,Moritz Fleischmann,2001,https://link.springer.com/chapter/10.1007/978-3-642-56691-2_3,Chapter
The legal status of reverse engineering of computer software,Annals of Software Engineering,,,,10.1023/A:1018993212326,Cristina CifuentesAnne Fitzgerald,2000,https://link.springer.com/article/10.1023/A:1018993212326,Article
Conclusions,Code Optimization Techniques for Embedded Processors,,,,10.1007/978-1-4757-3169-9_9,Rainer Leupers,2000,https://link.springer.com/chapter/10.1007/978-1-4757-3169-9_9,Chapter
Introduction,Code Optimization Techniques for Embedded Processors,,,,10.1007/978-1-4757-3169-9_1,Rainer Leupers,2000,https://link.springer.com/chapter/10.1007/978-1-4757-3169-9_1,Chapter
Type-Based Decompilation (or Program Reconstruction via Type Reconstruction),Programming Languages and Systems,,,,10.1007/3-540-49099-X_14,Alan Mycroft,1999,https://link.springer.com/chapter/10.1007/3-540-49099-X_14,Conference paper
Cryptographic verification of test coverage claims,Software Engineering — ESEC/FSE'97,,,,10.1007/3-540-63531-9_27,Prem DevanbuStuart G. Stubblebine,1997,https://link.springer.com/chapter/10.1007/3-540-63531-9_27,Conference paper
