Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Reverse Engineering of Code,The Huawei and Snowden Questions,,,,10.1007/978-3-319-74950-1_6,Olav Lysne,2018,https://link.springer.com/chapter/10.1007/978-3-319-74950-1_6,Chapter
Byte Label Malware Classification Using Image Entropy,Advanced Computing and Systems for Security,,,,10.1007/978-981-13-3702-4_2,Ayan DeySukriti BhattacharyaNabendu Chaki,2019,https://link.springer.com/chapter/10.1007/978-981-13-3702-4_2,Chapter
Mac-A-Mal: macOS malware analysis framework resistant to anti evasion techniques,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-019-00335-w,Duy-Phuc PhamDuc-Ly VuFabio Massacci,2019,https://link.springer.com/article/10.1007/s11416-019-00335-w,Article
A Comparative Analysis of Static and Dynamic Java Bytecode Watermarking Algorithms,Software Engineering,,,,10.1007/978-981-10-8848-3_31,Krishan KumarPrabhpreet Kaur,2019,https://link.springer.com/chapter/10.1007/978-981-10-8848-3_31,Conference paper
Running on Fumes,Verification and Evaluation of Computer and Communication Systems,,,,10.1007/978-3-030-35092-5_5,Elvira AlbertPablo GordilloAlbert RubioIlya Sergey,2019,https://link.springer.com/chapter/10.1007/978-3-030-35092-5_5,Conference paper
A Multidimensional Feature Extraction Method Based on Android Malware Detection,"Signal and Information Processing, Networking and Computers",,,,10.1007/978-981-13-1733-0_1,Fei XueSiqing YouZhaoqun QiHongjie Liu,2019,https://link.springer.com/chapter/10.1007/978-981-13-1733-0_1,Conference paper
DroidMark: A Lightweight Android Text and Space Watermark Scheme Based on Semantics of XML and DEX,"Advances in Internetworking, Data & Web Technologies",,,,10.1007/978-3-319-59463-7_75,Lingling ZengWei RenMin LeiYu Yang,2018,https://link.springer.com/chapter/10.1007/978-3-319-59463-7_75,Conference paper
Control Flow Graph Matching for Detecting Obfuscated Programs,Software Engineering,,,,10.1007/978-981-10-8848-3_26,Chandan Kumar BeheraGenius SanjogD. Lalitha Bhaskari,2019,https://link.springer.com/chapter/10.1007/978-981-10-8848-3_26,Conference paper
Mobile forensic reference set (MFReS) and mobile forensic investigation for android devices,The Journal of Supercomputing,,,,10.1007/s11227-017-2205-5,Dohyun KimYunho LeeSangjin Lee,2017,https://link.springer.com/article/10.1007/s11227-017-2205-5,Article
Android Malware Detection Using Local Binary Pattern and Principal Component Analysis,Data Science,,,,10.1007/978-981-10-6385-5_23,Qixin WuZheng QinJinxin ZhangHui YinGuangyi YangKuangsheng Hu,2017,https://link.springer.com/chapter/10.1007/978-981-10-6385-5_23,Conference paper
Mobile Security and Privacy,Encyclopedia of Wireless Networks,,,,10.1007/978-3-319-32903-1_292-1,Feng Lin,2019,https://link.springer.com/rwe/10.1007/978-3-319-32903-1_292-1,Living reference work entry
Analysis and Detection of Android App Privilege Escalation Vulnerability Based on Machine Learning,Recent Advances in Intelligent Information Hiding and Multimedia Signal Processing,,,,10.1007/978-3-030-03745-1_15,Jiang XinZhang WenNiu ShaozhangXue Yiming,2019,https://link.springer.com/chapter/10.1007/978-3-030-03745-1_15,Conference paper
Formal Verification of Memory Preservation of x86-64 Binaries,"Computer Safety, Reliability, and Security",,,,10.1007/978-3-030-26601-1_3,Joshua A. BockenekFreek VerbeekPeter LammichBinoy Ravindran,2019,https://link.springer.com/chapter/10.1007/978-3-030-26601-1_3,Conference paper
App Tamper Detection and Retrospective Program Research,Computational Data and Social Networks,,,,10.1007/978-3-030-04648-4_27,Wenrong Jiang,2018,https://link.springer.com/chapter/10.1007/978-3-030-04648-4_27,Conference paper
Malware Detection Method Based on CNN,New Trends in Computer Technologies and Applications,,,,10.1007/978-981-13-9190-3_67,Wen-Chung KuoYu-Pin Lin,2019,https://link.springer.com/chapter/10.1007/978-981-13-9190-3_67,Conference paper
AndroParse - An Android Feature Extraction Framework and Dataset,Digital Forensics and Cyber Crime,,,,10.1007/978-3-030-05487-8_4,Robert SchmickerFrank BreitingerIbrahim Baggili,2019,https://link.springer.com/chapter/10.1007/978-3-030-05487-8_4,Conference paper
Ransomware Analysis Using Reverse Engineering,Advances in Computing and Data Sciences,,,,10.1007/978-981-13-9942-8_18,S. NaveenT. Gireesh Kumar,2019,https://link.springer.com/chapter/10.1007/978-981-13-9942-8_18,Conference paper
Automated Cash Mining Attacks on Mobile Advertising Networks,Information Security and Privacy,,,,10.1007/978-3-030-21548-4_40,Woojoong JiTaeyun KimKuyju KimHyoungshick Kim,2019,https://link.springer.com/chapter/10.1007/978-3-030-21548-4_40,Conference paper
An Approach to the Programs Security Analysis using Vector Representation of Machine Code,Automatic Control and Computer Sciences,,,,10.3103/S0146411618080096,R. A. DemidovA. I. Pechenkin,2018,https://link.springer.com/article/10.3103/S0146411618080096,Article
Data Obfuscation Using Secret Sharing,Advanced Informatics for Computing Research,,,,10.1007/978-981-15-0111-1_17,Manasa SidhardhanK. Praveen,2019,https://link.springer.com/chapter/10.1007/978-981-15-0111-1_17,Conference paper
Evaluating Machine Learning Models on the Ethereum Blockchain for Android Malware Detection,Intelligent Computing,,,,10.1007/978-3-030-22868-2_34,Md. Shohel RanaCharan GudlaAndrew H. Sung,2019,https://link.springer.com/chapter/10.1007/978-3-030-22868-2_34,Conference paper
Android Anti-malware Techniques and Its Vulnerabilities: A Survey,Smart Innovations in Communication and Computational Sciences,,,,10.1007/978-981-10-8968-8_27,Deepak ThakurTanya GeraJaiteg Singh,2019,https://link.springer.com/chapter/10.1007/978-981-10-8968-8_27,Conference paper
Detecting Time-Fragmented Cache Attacks Against AES Using Performance Monitoring Counters,Cloud Computing and Big Data,,,,10.1007/978-3-030-27713-0_1,Iván PradaFrancisco D. IgualKatzalin Olcoz,2019,https://link.springer.com/chapter/10.1007/978-3-030-27713-0_1,Conference paper
Malware Detection in Android System Based on Change Perception,Intelligent Computing Theories and Application,,,,10.1007/978-3-030-26763-6_35,Hua-li ZhangHua-yong YangFan YangWei Jiang,2019,https://link.springer.com/chapter/10.1007/978-3-030-26763-6_35,Conference paper
Deobfuscation of Computer Virus Malware Code with Value State Dependence Graph,Advances in Computer Science for Engineering and Education,,,,10.1007/978-3-319-91008-6_37,Ivan DychkaIhor TereikovskyiLiudmyla TereikovskaVolodymyr PogorelovShynar Mussiraliyeva,2019,https://link.springer.com/chapter/10.1007/978-3-319-91008-6_37,Conference paper
Android Multitasking Mechanism: Formal Semantics and Static Analysis of Apps,Programming Languages and Systems,,,,10.1007/978-3-030-34175-6_15,Jinlong HeTaolue ChenPing WangZhilin WuJun Yan,2019,https://link.springer.com/chapter/10.1007/978-3-030-34175-6_15,Conference paper
Evaluation of Tools for Analyzing Smart Contracts in Distributed Ledger Technologies,Computational Science and Its Applications – ICCSA 2019,,,,10.1007/978-3-030-24296-1_41,Denis KirillovOleg IakushkinVladimir KorkhovVadim Petrunin,2019,https://link.springer.com/chapter/10.1007/978-3-030-24296-1_41,Conference paper
Topic Model Based Android Malware Detection,"Security, Privacy, and Anonymity in Computation, Communication, and Storage",,,,10.1007/978-3-030-24907-6_29,Yucai SongYang ChenBo LangHongyu LiuShaojie Chen,2019,https://link.springer.com/chapter/10.1007/978-3-030-24907-6_29,Conference paper
Compiling Sandboxes: Formally Verified Software Fault Isolation,Programming Languages and Systems,,,,10.1007/978-3-030-17184-1_18,Frédéric BessonSandrine BlazyAlexandre DangThomas JensenPierre Wilke,2019,https://link.springer.com/chapter/10.1007/978-3-030-17184-1_18,Conference paper
<span>Sentinel</span>: generating GUI tests for sensor leaks in Android and Android wear apps,Software Quality Journal,,,,10.1007/s11219-019-09484-z,Haowei WuHailong ZhangYan WangAtanas Rountev,2019,https://link.springer.com/article/10.1007/s11219-019-09484-z,Article
Trends in Design of Ransomware Viruses,Innovative Security Solutions for Information Technology and Communications,,,,10.1007/978-3-030-12942-2_20,Vlad Constantin CraciunAndrei MogageEmil Simion,2019,https://link.springer.com/chapter/10.1007/978-3-030-12942-2_20,Conference paper
On Effectiveness of Adversarial Examples and Defenses for Malware Classification,Security and Privacy in Communication Networks,,,,10.1007/978-3-030-37231-6_22,Robert PodschwadtHassan Takabi,2019,https://link.springer.com/chapter/10.1007/978-3-030-37231-6_22,Conference paper
Checking the Expressivity of Firewall Languages,The Art of Modelling Computational Systems: A Journey from Logic and Concurrency to Security and Privacy,,,,10.1007/978-3-030-31175-9_6,Lorenzo CeragioliPierpaolo DeganoLetterio Galletta,2019,https://link.springer.com/chapter/10.1007/978-3-030-31175-9_6,Chapter
Structural analysis of packing schemes for extracting hidden codes in mobile malware,EURASIP Journal on Wireless Communications and Networking,,,,10.1186/s13638-016-0720-3,Jongsu LimJeong Hyun Yi,2016,https://link.springer.com/article/10.1186/s13638-016-0720-3,Article
Automated identification of sensitive data from implicit user specification,Cybersecurity,,,,10.1186/s42400-018-0011-x,Ziqi YangZhenkai Liang,2018,https://link.springer.com/article/10.1186/s42400-018-0011-x,Article
Malware Detection Using Logic Signature of Basic Block Sequence,"Green, Pervasive, and Cloud Computing",,,,10.1007/978-3-030-15093-8_2,Dawei ShiQiang Xu,2019,https://link.springer.com/chapter/10.1007/978-3-030-15093-8_2,Conference paper
A Multilateral Privacy Impact Analysis Method for Android Apps,Privacy Technologies and Policy,,,,10.1007/978-3-030-21752-5_7,Majid HatamianNurul MomenLothar FritschKai Rannenberg,2019,https://link.springer.com/chapter/10.1007/978-3-030-21752-5_7,Conference paper
Practical Dynamic Taint Tracking for Exploiting Input Sanitization Error in Java Applications,Information Security and Privacy,,,,10.1007/978-3-030-21548-4_27,Mohammadreza Ashouri,2019,https://link.springer.com/chapter/10.1007/978-3-030-21548-4_27,Conference paper
Malware Classification Using Image Representation,Cyber Security Cryptography and Machine Learning,,,,10.1007/978-3-030-20951-3_6,Ajay SinghAnand HandaNitesh KumarSandeep Kumar Shukla,2019,https://link.springer.com/chapter/10.1007/978-3-030-20951-3_6,Conference paper
High-assurance timing analysis for a high-assurance real-time operating system,Real-Time Systems,,,,10.1007/s11241-017-9286-3,Thomas SewellFelix KamGernot Heiser,2017,https://link.springer.com/article/10.1007/s11241-017-9286-3,Article
On Leveraging Coding Habits for Effective Binary Authorship Attribution,Computer Security,,,,10.1007/978-3-319-99073-6_2,Saed AlrabaeeParia ShiraniLingyu WangMourad DebbabiAiman Hanna,2018,https://link.springer.com/chapter/10.1007/978-3-319-99073-6_2,Conference paper
The Multiresolution Analysis of Flow Graphs,"Logic, Language, Information, and Computation",,,,10.1007/978-3-662-59533-6_20,Steve Huntsman,2019,https://link.springer.com/chapter/10.1007/978-3-662-59533-6_20,Conference paper
Forensic Analysis of Android Steganography Apps,Advances in Digital Forensics XIV,,,,10.1007/978-3-319-99277-8_16,Wenhao ChenYangxiao WangYong GuanJennifer NewmanLi LinStephanie Reinders,2018,https://link.springer.com/chapter/10.1007/978-3-319-99277-8_16,Conference paper
Auditing Access to Private Data on Android Platform,Distributed Computing and Internet Technology,,,,10.1007/978-3-319-72344-0_6,Vishal MaralNachiket TrivediManik Lal Das,2018,https://link.springer.com/chapter/10.1007/978-3-319-72344-0_6,Conference paper
Translation Semantics and Static Analysis,Formal Languages and Compilation,,,,10.1007/978-3-030-04879-2_5,Stefano Crespi ReghizziLuca BreveglieriAngelo Morzenti,2019,https://link.springer.com/chapter/10.1007/978-3-030-04879-2_5,Chapter
Effective Malware Detection Based on Behaviour and Data Features,Smart Computing and Communication,,,,10.1007/978-3-319-73830-7_6,Zhiwu XuCheng WenShengchao QinZhong Ming,2018,https://link.springer.com/chapter/10.1007/978-3-319-73830-7_6,Conference paper
Systematic literature review and metadata analysis of ransomware attacks and detection mechanisms,Journal of Reliable Intelligent Environments,,,,10.1007/s40860-019-00080-3,Abdullahi Mohammed MaigidaShafi’i Muhammad AbdulhamidMorufu OlalereJohn K. AlhassanHaruna ChiromaEmmanuel Gbenga Dada,2019,https://link.springer.com/article/10.1007/s40860-019-00080-3,Article
The duplication issue within the Drebin dataset,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-018-0316-z,Paul IrollaAlexandre Dey,2018,https://link.springer.com/article/10.1007/s11416-018-0316-z,Article
Evolutionary Fuzzing of Android OS Vendor System Services,Empirical Software Engineering,,,,10.1007/s10664-019-09725-6,Domenico CotroneoAntonio Ken IannilloRoberto Natella,2019,https://link.springer.com/article/10.1007/s10664-019-09725-6,Article
What can Android mobile app developers do about the energy consumption of machine learning?,Empirical Software Engineering,,,,10.1007/s10664-018-9629-2,Andrea McIntoshSafwat HassanAbram Hindle,2018,https://link.springer.com/article/10.1007/s10664-018-9629-2,Article
Are free Android app security analysis tools effective in detecting known vulnerabilities?,Empirical Software Engineering,,,,10.1007/s10664-019-09749-y,Venkatesh-Prasad RanganathJoydeep Mitra,2019,https://link.springer.com/article/10.1007/s10664-019-09749-y,Article
A Development Platform for Embedded Domain-Specific Languages,Advanced Software Technologies for Post-Peta Scale Computing,,,,10.1007/978-981-13-1924-2_8,Shigeru ChibaYungYu ZhuangThanh-Chung Dao,2019,https://link.springer.com/chapter/10.1007/978-981-13-1924-2_8,Chapter
EthIR: A Framework for High-Level Analysis of Ethereum Bytecode,Automated Technology for Verification and Analysis,,,,10.1007/978-3-030-01090-4_30,Elvira AlbertPablo GordilloBenjamin LivshitsAlbert RubioIlya Sergey,2018,https://link.springer.com/chapter/10.1007/978-3-030-01090-4_30,Conference paper
Research on Dynamic Safe Loading Techniques in Android Application Protection System,Smart Computing and Communication,,,,10.1007/978-3-319-73830-7_14,Shubin CaiRongjie HuangNingsheng YangJinwen JiangZhong MingZhengping LiangZhiguang Shan,2018,https://link.springer.com/chapter/10.1007/978-3-319-73830-7_14,Conference paper
A Few Words About Digital Preservation and Book Overview,Cinderella's Stick,,,,10.1007/978-3-319-98488-9_1,Yannis TzitzikasYannis Marketakis,2018,https://link.springer.com/chapter/10.1007/978-3-319-98488-9_1,Chapter
Exploring C#,Exploring Advanced Features in C#,,,,10.1007/978-1-4842-4856-0_2,Dirk Strauss,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4856-0_2,Chapter
Transcompiling Firewalls,Principles of Security and Trust,,,,10.1007/978-3-319-89722-6_13,Chiara BodeiPierpaolo DeganoRiccardo FocardiLetterio GallettaMauro Tempesta,2018,https://link.springer.com/chapter/10.1007/978-3-319-89722-6_13,Conference paper
MobileFindr: Function Similarity Identification for Reversing Mobile Binaries,Computer Security,,,,10.1007/978-3-319-99073-6_4,Yibin LiaoRuoyan CaiGuodong ZhuYue YinKang Li,2018,https://link.springer.com/chapter/10.1007/978-3-319-99073-6_4,Conference paper
Understanding the behaviour of hackers while performing attack tasks in a professional setting and in a public challenge,Empirical Software Engineering,,,,10.1007/s10664-018-9625-6,Mariano CeccatoPaolo TonellaCataldo BasilePaolo FalcarinMarco TorchianoBart CoppensBjorn De Sutter,2018,https://link.springer.com/article/10.1007/s10664-018-9625-6,Article
Identifying a potential insider using classification models,Automatic Control and Computer Sciences,,,,10.3103/S0146411617080259,A. S. ZaytsevA. A. Malyuk,2017,https://link.springer.com/article/10.3103/S0146411617080259,Article
When Harry Met Tinder: Security Analysis of Dating Apps on Android,Secure IT Systems,,,,10.1007/978-3-030-03638-6_28,Kuyju KimTaeyun KimSeungjin LeeSoolin KimHyoungshick Kim,2018,https://link.springer.com/chapter/10.1007/978-3-030-03638-6_28,Conference paper
Fingerprinting Android malware families,Frontiers of Computer Science,,,,10.1007/s11704-017-6493-y,Nannan XieXing WangWei WangJiqiang Liu,2018,https://link.springer.com/article/10.1007/s11704-017-6493-y,Article
Formalizing Structured Control Flow Graphs,Languages and Compilers for Parallel Computing,,,,10.1007/978-3-319-52709-3_13,Amit SabnePutt SakdhnagoolRudolf Eigenmann,2017,https://link.springer.com/chapter/10.1007/978-3-319-52709-3_13,Conference paper
Research on Linux Kernel Version Diversity for&#xa0;Precise Memory Analysis,Data Science,,,,10.1007/978-981-10-6385-5_32,Shuhui ZhangXiangxu MengLianhai WangGuangqi Liu,2017,https://link.springer.com/chapter/10.1007/978-981-10-6385-5_32,Conference paper
An Automatic Approach of Building Threat Patterns in Android,Security with Intelligent Computing and Big-data Services,,,,10.1007/978-3-319-76451-1_25,Chia-Mei ChenYu-Hsuan TsaiGu-Hsin Lai,2018,https://link.springer.com/chapter/10.1007/978-3-319-76451-1_25,Conference paper
Smart Contracts and Opportunities for Formal Methods,"Leveraging Applications of Formal Methods, Verification and Validation. Industrial Practice",,,,10.1007/978-3-030-03427-6_22,Andrew MillerZhicheng CaiSomesh Jha,2018,https://link.springer.com/chapter/10.1007/978-3-030-03427-6_22,Conference paper
Android malware detection method based on naive Bayes and permission correlation algorithm,Cluster Computing,,,,10.1007/s10586-017-0981-6,Fengjun ShangYalin LiXiaolin DengDexiang He,2017,https://link.springer.com/article/10.1007/s10586-017-0981-6,Article
My Smartphone Knows Your Health Data: Exploiting Android-Based Deception Attacks Against Smartbands,Cyberspace Safety and Security,,,,10.1007/978-3-319-69471-9_22,Jun XieSha WuYansong LiJun GuoWen SunJiajia Liu,2017,https://link.springer.com/chapter/10.1007/978-3-319-69471-9_22,Conference paper
Attack Detection Application with Attack Tree for Mobile System using Log Analysis,Mobile Networks and Applications,,,,10.1007/s11036-018-1012-4,Duhoe KimDongil ShinDongkyoo ShinYong-Hyun Kim,2018,https://link.springer.com/article/10.1007/s11036-018-1012-4,Article
Classes and Objects,Scala for Java Developers,,,,10.1007/978-1-4842-3108-1_9,Toby Weston,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3108-1_9,Chapter
A Categorical Model of an $$\mathbf {i/o}$$ -typed $$\pi $$ -calculus,Programming Languages and Systems,,,,10.1007/978-3-030-17184-1_23,Ken SakayoriTakeshi Tsukada,2019,https://link.springer.com/chapter/10.1007/978-3-030-17184-1_23,Conference paper
The Android malware detection systems between hope and reality,SN Applied Sciences,,,,10.1007/s42452-019-1124-x,Khaled BakourHalil Murat ÜnverRazan Ghanem,2019,https://link.springer.com/article/10.1007/s42452-019-1124-x,Article
Automated Identification of Sensitive Data via Flexible User Requirements,Security and Privacy in Communication Networks,,,,10.1007/978-3-030-01701-9_9,Ziqi YangZhenkai Liang,2018,https://link.springer.com/chapter/10.1007/978-3-030-01701-9_9,Conference paper
Android Malware Detection Using Hybrid Analysis and Machine Learning Technique,Cloud Computing and Security,,,,10.1007/978-3-319-68542-7_48,Fan YangYi ZhuangJun Wang,2017,https://link.springer.com/chapter/10.1007/978-3-319-68542-7_48,Conference paper
Idea: Benchmarking Android Data Leak Detection Tools,Engineering Secure Software and Systems,,,,10.1007/978-3-319-94496-8_9,Claudio CorrodiTimo SpringMohammad GhafariOscar Nierstrasz,2018,https://link.springer.com/chapter/10.1007/978-3-319-94496-8_9,Conference paper
Building,Pro Android with Kotlin,,,,10.1007/978-1-4842-3820-2_11,Peter Späth,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3820-2_11,Chapter
